Manufacturer Part Number,Supplier Part Number,Description,Package,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Link
FCC0402X105K160AT,C5137499,1uF ±10% 16V Ceramic Capacitor X5R 0402,0402,1uF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137499.html
FCC0402X105K6R3AT,C5137474,1uF ±10% 6.3V Ceramic Capacitor X5R 0402,0402,1uF,±10%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137474.html
FCC0402B104K160AT,C5137468,100nF ±10% 16V Ceramic Capacitor X7R 0402,0402,100nF,±10%,16V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137468.html
FCC0805X106K500FT,C46635915,10uF ±10% 50V Ceramic Capacitor X5R 0805,0805,10uF,±10%,50V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635915.html
FCC0402B331K500AT,C7467142,330pF ±10% 50V Ceramic Capacitor X7R 0402,0402,330pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467142.html
FCC0805B105K250DT,C5137482,1uF ±10% 25V Ceramic Capacitor X7R 0805,0805,1uF,±10%,25V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137482.html
FCC0603X106M160CT,C7467046,10uF ±20% 16V Ceramic Capacitor X5R 0603,0603,10uF,±20%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467046.html
FCC0805X226M100FT,C5137600,22uF ±20% 10V Ceramic Capacitor X5R 0805,0805,22uF,±20%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137600.html
FCC0603N3R0C500CT,C5137582,3pF 50V Ceramic Capacitor C0G 0603,0603,3pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137582.html
FCC1206N470J102DT,C5137553,47pF ±5% 1kV Ceramic Capacitor C0G 1206,1206,47pF,±5%,1kV,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137553.html
